geo_scope,charge_level,pricing,venue,sessions,evse_count,median_total_hours,mean_total_hours,median_charge_hours,median_energy_kwh,mean_energy_kwh,median_kw
Chicago metro,L2,Free,Fleet,7783,204,16.201666666666668,28.561333509399496,3.2699305555555553,10.3531425,15.477192260303832,3.240376584525013
Other Midwest,L2,Paid,Undesignated,6020,159,2.289027777777778,4.190753947581479,1.698263888888889,6.687825,14.76923748670097,5.9857981155325
Chicago metro,DCFC,Free,Corridor,6013,102,0.725,1.6459117006358115,0.7055555555555556,17.309998999999998,22.56526857032859,25.474082953728146
Other Midwest,DCFC,Undesignated,Corridor,4536,43,0.5687500000000001,0.7251752535307463,0.5549305555555556,23.17124975,25.764741521152143,42.60679355773845
Chicago metro,DCFC,Free,Undesignated,4502,318,2.0297222222222224,11.051394384587734,1.1030555555555557,25.256999999999998,31.04809703652774,20.823529307040637
Other Midwest,L2,Free,Hotel,4358,82,3.9773611111111107,6.203071606203633,2.417638888888889,10.16328925,17.811016894532234,5.624071065985536
Other Midwest,L2,Undesignated,Single Family Residential,4092,103,8.91951388888889,9.753268569040083,2.821597222222222,16.28644925,19.256259208344996,6.304962568751845
Other Midwest,L2,Free,Undesignated,3746,73,2.1775,4.404461163299209,1.9297222222222221,9.00024475,13.174864641864845,5.7957765369266845
Other Midwest,L2,Undesignated,Municipal Building,3155,99,16.366666666666667,26.55491810009806,3.463263888888889,14.6775,18.70125562573602,4.4673678836857444
Other Midwest,L2,Paid,Multi-use Parking Garage/Lot,3120,165,5.9558333333333335,29.541125508545132,2.8890277777777778,11.48879425,15.45768011671356,5.507721075840934
Other US,L2,Undesignated,Undesignated,3069,98,3.0327083333333333,7.1034581016008085,1.9997222222222224,8.314,10.05385721166085,4.641539040154578
Other Midwest,L2,Paid,Hotel,3017,132,2.169236111111111,4.059805524919364,1.9840972222222224,9.76448125,17.021392606304694,5.950212815429731
Chicago metro,L2,Undesignated,Multi-Unit Dwelling,2977,18,3.86375,10.53797757833993,3.0394444444444444,17.615008500000002,21.760593735879127,6.103707803083999
Other Midwest,L2,Undesignated,Retail,2175,47,1.8380555555555556,4.745552498077267,1.419166666666667,4.848000000000001,8.858125662903852,4.598825739783936
Other Midwest,DCFC,Undesignated,Undesignated,1740,34,0.4479861111111111,1.1888561000763214,0.4419444444444444,13.41625,17.5974204629456,29.924547218029012
Chicago metro,DCFC,Paid,Corridor,1468,71,0.6875,0.8799272609939925,0.6691666666666667,14.2,18.78812937227411,20.39619651347068
Chicago metro,L2,Undesignated,Fleet,1268,2,1.3065277777777777,2.089194707325622,1.24875,7.1237034999999995,10.09415179258675,6.539260345084918
Chicago metro,DCFC,Paid,Undesignated,780,51,0.9830555555555556,1.5458824979924957,0.9179166666666667,19.799999,26.265497825909822,20.369515011547346
Other Midwest,L2,Undesignated,Multi-Unit Dwelling,704,6,1.136388888888889,2.126051665455284,1.125138888888889,5.556756,10.908306523493001,6.222128486530142
Other Midwest,L2,Undesignated,Multi-use Parking Garage/Lot,430,18,4.383333333333334,15.156718056087799,2.334027777777778,12.024837999999999,18.826115909096213,5.542862950802766
Chicago metro,DCFC,Undesignated,Undesignated,361,4,0.9833333333333332,12.835562044950933,0.5901388888888889,11.925,13.383447336324787,18.64195918987118
Other Midwest,L2,Undesignated,Hotel,238,7,2.071111111111111,4.090576853899455,1.8768055555555554,7.352162,15.803082256973315,5.620035653314585
