evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,geo_scope,is_chicago,is_midwest
18679,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18680,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18681,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18676,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18683,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18685,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18688,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18696,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18702,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18709,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18712,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18714,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18716,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18725,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18500,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18511,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18513,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18514,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18519,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18525,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18523,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18531,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18533,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18538,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18539,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18540,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18544,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18545,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18560,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18567,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18588,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18589,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18603,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18609,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18610,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18614,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18615,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18624,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18643,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18648,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18652,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18654,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18657,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18157,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18150,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18152,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18153,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18145,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18146,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18147,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18116,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18122,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18123,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18126,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
