vehicle_id,ownership,electrification_level,vehicle_type,state,sessions,mean_soc_start,median_soc_start,sd_soc_start,mean_soc_gain,mean_energy,soc_persona,soc_persona_label
545,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Texas,26,30.576923076923077,25.0,16.020419662226274,51.92307692307692,31.35038076923077,0,deep chargers
546,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Massachusetts,37,61.62162162162162,60.0,16.50143318918988,29.324324324324323,11.22162162162162,0,deep chargers
547,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Texas,55,30.636363636363637,20.0,20.093636026220064,38.18181818181818,24.57594,0,deep chargers
548,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Massachusetts,39,68.97435897435898,65.0,18.573449045524466,25.384615384615383,9.866666666666667,1,top-up chargers
550,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),PASSENGER CAR,Colorado,6,91.66666666666667,90.0,2.5819888974716116,8.333333333333334,0.7182000000000001,1,top-up chargers
552,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,134,48.656716417910445,50.0,17.180643277326258,22.761194029850746,14.615790298507463,0,deep chargers
562,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,166,66.59638554216868,75.0,22.279486125313404,16.746987951807228,10.230174698795182,1,top-up chargers
563,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,64,68.4375,75.0,13.768926368215256,9.84375,5.827078125,1,top-up chargers
564,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,56,63.839285714285715,60.0,19.211527586524507,25.089285714285715,14.887892857142857,0,deep chargers
565,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,33,63.18181818181818,70.0,22.389247622260758,24.545454545454547,14.212181818181818,0,deep chargers
567,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,88,64.43181818181819,65.0,16.581942438900867,25.28409090909091,15.349943181818183,1,top-up chargers
568,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,36,60.0,55.0,17.5662013130736,25.416666666666668,15.2665,0,deep chargers
569,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,59,82.45762711864407,85.0,10.961251554985212,16.35593220338983,9.955271186440678,1,top-up chargers
570,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,72,69.86111111111111,77.5,22.05901531108138,21.319444444444443,12.412083333333333,1,top-up chargers
571,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,58,56.63793103448276,55.0,11.097175673340711,20.0,12.303827586206896,1,top-up chargers
572,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,92,67.3913043478261,75.0,21.69314294949521,20.434782608695652,12.28920652173913,1,top-up chargers
573,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,123,72.64227642276423,80.0,15.382089905386408,15.487804878048781,9.24580487804878,1,top-up chargers
574,Fleet,PHEV (Plug-in Hybrid Electric Vehicle),MULTIPURPOSE PASSENGER VEHICLE (MPV),Washington,5,18.0,0.0,40.24922359499622,8.0,0.97608,0,deep chargers
576,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,52,82.78846153846153,85.0,12.263986075068413,8.75,5.009307692307692,1,top-up chargers
577,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,169,65.97633136094674,65.0,18.58281100997381,28.076923076923077,16.402473372781067,0,deep chargers
579,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,30,73.66666666666667,85.0,25.152408993194257,19.666666666666668,11.556000000000001,1,top-up chargers
580,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,271,77.98892988929889,80.0,12.33467962466859,12.490774907749078,7.960981549815498,1,top-up chargers
