vehicle_id,date,trip_km,trips,charged_kwh,estimated_consumed_kwh,net_kwh
157,2023-03-09,191.133495,26.0,0.0,39.12693746732482,-39.12693746732482
157,2023-03-10,170.47222,23.0,21.7,34.89736789386936,-13.197367893869359
157,2023-03-11,173.41356,20.0,14.26,35.49948960074308,-21.239489600743084
157,2023-03-12,199.25269,27.0,0.0,40.78901786328062,-40.78901786328062
157,2023-03-13,157.63883,6.0,0.0,32.270244646717984,-32.270244646717984
157,2023-03-14,125.55365,8.0,0.0,25.70208749829216,-25.70208749829216
157,2023-03-15,142.64317,9.0,0.0,29.200483111194004,-29.200483111194004
157,2023-03-16,159.276657,25.0,0.0,32.605524209367616,-32.605524209367616
157,2023-03-17,183.5041,27.0,0.0,37.56512402861529,-37.56512402861529
157,2023-03-18,162.64101,24.0,0.0,33.29424090682039,-33.29424090682039
157,2023-03-19,79.10835,8.0,0.0,16.19427020676436,-16.19427020676436
157,2023-03-20,156.36948,12.0,0.0,32.01039601017131,-32.01039601017131
157,2023-03-21,121.26783,8.0,0.0,24.824737292687377,-24.824737292687377
157,2023-03-22,118.16803,8.0,0.0,24.190177239457498,-24.190177239457498
157,2023-03-23,92.18988,7.0,0.0,18.872190192933893,-18.872190192933893
157,2023-03-24,185.035434,22.0,0.0,37.8786034093988,-37.8786034093988
157,2023-03-25,176.664022,25.0,38.44,36.16489167176112,2.275108328238879
157,2023-03-26,165.515062,22.0,38.44,33.882588087317664,4.557411912682333
157,2023-03-27,135.58205,9.0,0.0,27.755001246859987,-27.755001246859987
157,2023-03-28,77.5584,5.0,0.0,15.876979944649499,-15.876979944649499
157,2023-03-29,139.51148,9.0,0.0,28.559394856113194,-28.559394856113194
157,2023-03-30,147.953287,24.0,0.0,30.287517154092544,-30.287517154092544
157,2023-03-31,169.69674,25.0,38.44,34.738619384262705,3.7013806157372926
157,2023-04-01,180.17782,22.0,21.08,36.88420125493392,-15.804201254933922
157,2023-04-02,163.889625,20.0,53.94,33.549844881548964,20.390155118451034
157,2023-04-03,144.91591,7.0,0.0,29.665735713096602,-29.665735713096602
157,2023-04-04,143.29155,13.0,0.0,29.333212979996244,-29.333212979996244
157,2023-04-05,148.22247,22.0,0.0,30.34262160560831,-30.34262160560831
157,2023-04-06,98.438369,14.0,22.32,20.151318366508423,2.168681633491577
157,2023-04-07,140.336204,23.0,0.0,28.728224104884074,-28.728224104884074
157,2023-04-08,167.007224,23.0,31.62,34.18804856804146,-2.5680485680414584
157,2023-04-09,156.50146,22.0,33.48,32.03741363576822,1.4425863642317793
157,2023-04-10,130.61772,8.0,21.7,26.738753260199328,-5.038753260199329
157,2023-04-11,123.02785,10.0,1.24,25.185030984178976,-23.945030984178977
157,2023-04-12,118.83736,7.0,0.0,24.3271957827275,-24.3271957827275
157,2023-04-13,127.204957,18.0,0.0,26.04012655172105,-26.04012655172105
157,2023-04-14,174.42207,24.0,0.0,35.70594168129114,-35.70594168129114
157,2023-04-15,163.439271,27.0,0.0,33.457652914901985,-33.457652914901985
157,2023-04-16,130.520005,15.0,28.52,26.718750022699698,1.8012499773003015
157,2023-04-17,107.42086,9.0,0.0,21.990124085295747,-21.990124085295747
157,2023-04-18,150.10957,17.0,29.14,30.728929843704353,-1.5889298437043529
157,2023-04-19,125.34716999999999,7.0,0.0,25.6598189778099,-25.6598189778099
157,2023-04-20,146.617751,23.0,0.0,30.01411958158773,-30.01411958158773
157,2023-04-21,142.49549,22.0,0.0,29.170251538621258,-29.170251538621258
157,2023-04-22,178.69761,24.0,0.0,36.58118746811174,-36.58118746811174
157,2023-04-23,179.40132,26.0,0.0,36.72524394112884,-36.72524394112884
157,2023-04-24,91.237001,9.0,0.0,18.677126334310227,-18.677126334310227
157,2023-04-25,139.3136,9.0,0.0,28.518886841617704,-28.518886841617704
157,2023-04-26,132.32835,9.0,24.8,27.088936324866932,-2.288936324866931
157,2023-04-27,82.16393,14.0,0.0,16.81977798386229,-16.81977798386229
157,2023-04-28,212.079526,22.0,38.44,43.41479944110208,-4.9747994411020855
157,2023-04-29,165.77197,23.0,0.0,33.935179723602324,-33.935179723602324
157,2023-04-30,132.52621,19.0,26.66,27.129440245162453,-0.46944024516245264
157,2023-05-01,93.23828,7.0,0.0,19.086808155320565,-19.086808155320565
157,2023-05-02,171.550289,27.0,0.0,35.11805939720037,-35.11805939720037
157,2023-05-03,15.6049,1.0,0.0,3.1944790549864486,-3.1944790549864486
157,2023-05-04,151.19909,21.0,29.14,30.951965481227756,-1.8119654812277552
