vehicle_id,ownership,vehicle_type,electrification_level,state,charge_start_dt,km_since_prior_charge,trips_since_prior_charge,avg_temp_c,charged_kwh,kwh_per_km_proxy,wh_per_km_proxy,temp_bin
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-25 11:10:00,23.25349,4,23.75,5.4,0.2322232060649821,232.2232060649821,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-08-27 13:20:00,76.97193,6,25.416666666666668,15.0,0.1948762360512462,194.87623605124622,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-10 13:40:00,34.128479,4,20.0,8.4,0.24612875364296197,246.12875364296195,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-15 10:20:00,14.0547,2,25.0,3.6,0.2561420734700847,256.1420734700847,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-17 11:30:00,19.27282,4,20.625,2.4,0.1245277027440717,124.5277027440717,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-27 11:10:00,45.496869000000004,4,15.0,13.2,0.2901298548697933,290.12985486979335,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-27 14:40:00,14.83203,2,25.0,3.0,0.2022649630563045,202.2649630563045,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-28 11:00:00,18.09216,2,15.0,4.8,0.26530828823092434,265.30828823092435,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-29 13:30:00,12.030819999999999,2,15.0,7.8,0.6483348599679823,648.3348599679823,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-30 11:40:00,39.20255,3,10.0,10.8,0.27549228302750717,275.49228302750714,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-09-30 16:10:00,9.12828,1,15.0,5.4,0.59156818151941,591.56818151941,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-01 10:50:00,5.27196,2,15.0,1.2,0.22761932943345548,227.61932943345548,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-05 11:30:00,3.50891,2,20.0,1.2,0.3419865428295396,341.98654282953964,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-07 16:20:00,63.9468,4,21.875,6.0,0.09382799452044512,93.82799452044512,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-08 14:50:00,7.383,2,20.0,1.8,0.24380333197887039,243.80333197887037,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-12 12:40:00,5.753080000000001,2,17.5,1.8,0.3128758856125762,312.8758856125762,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-14 12:10:00,8.29268,1,20.0,4.2,0.5064707669896824,506.47076698968243,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-19 16:00:00,133.79599,2,15.0,36.0,0.2690663599110856,269.06635991108556,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-21 07:50:00,25.307380000000002,3,18.333333333333332,1.8,0.07112549777969904,71.12549777969903,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-21 14:10:00,27.294040000000003,3,18.333333333333332,12.6,0.4616392443185398,461.63924431853985,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-22 17:50:00,7.20365,2,10.0,2.4,0.3331644374726701,333.1644374726701,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-10-28 13:00:00,23.0886,2,11.25,8.4,0.36381590914997014,363.81590914997014,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-11-04 14:10:00,27.362029999999997,3,5.0,8.4,0.30699476610470794,306.9947661047079,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-11-09 12:10:00,33.20138,3,11.666666666666666,4.8,0.14457230392230683,144.57230392230684,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-11-17 11:40:00,20.68583,2,7.5,7.8,0.3770697139056059,377.0697139056059,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-12-03 12:10:00,81.11990999999999,7,6.785714285714286,19.8,0.24408311103895458,244.0831110389546,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-12-07 11:10:00,34.9623,2,0.0,7.2,0.20593610832239298,205.93610832239298,-10-0C
