hour,is_weekend,energy_kwh,total_duration,charge_duration,is_dcfc,overstay_hours,venue,land_use,cluster,pca1,pca2
23,0,29.608299,8.5625,3.9791666666666665,0,4.583333333333334,Single Family Residential,Metro Area,1,1.901336328248209,0.05625734718363675
11,0,34.209236,4.866944444444444,4.861666666666666,0,0.005277777777777715,Municipal Building,Undesignated,2,0.620621546795138,-3.672539537279235
3,0,46.046001,0.9697222222222224,0.965,1,0.004722222222222405,Undesignated,Metro Area,3,-2.8227419314643987,0.7416979697325145
19,1,10.174808,1.7194444444444446,1.7022222222222223,0,0.01722222222222225,Multi-Unit Dwelling,Metro Area,5,-0.17366354236979045,0.9601468054262862
7,0,22.768,9.158888888888889,5.299722222222222,0,3.859166666666667,Medical or Educational Campus,Undesignated,2,1.4902042205501034,-3.377697581773445
13,0,2.343,0.3616666666666667,0.3572222222222222,0,0.004444444444444473,Municipal Building,Metro Area,0,-1.4230660903697696,0.1944294352064657
10,0,27.978223999999997,6.006944444444445,6.000277777777778,0,0.006666666666666821,Multi-Unit Dwelling,Metro Area,5,0.9671591749435413,1.4522120083545371
17,0,1.796,2.2930555555555556,0.95,0,1.3430555555555557,Medical or Educational Campus,Metro Area,0,-0.34326420805025576,0.49720063309981255
7,0,57.856,10.867222222222225,9.683333333333334,0,1.183888888888891,Retail,Metro Area,0,1.269528651314328,1.1071749311653103
15,0,7.4602,1.375,1.248888888888889,0,0.12611111111111106,Single Family Residential,Metro Area,1,-0.0696351226616647,-0.10177949527811303
21,0,35.293301,12.371944444444445,3.6841666666666666,0,8.687777777777779,Single Family Residential,Metro Area,1,2.2307120586821556,0.0555861147171365
17,1,34.549155999999996,13.14638888888889,8.719444444444445,0,4.426944444444445,Multi-Unit Dwelling,Metro Area,5,2.1801192227938944,1.2759389983693312
9,1,11.543,0.4547222222222222,0.45,1,0.004722222222222183,Undesignated,Metro Area,3,-3.209837458535192,0.29355795300167686
5,0,6.654,11.62888888888889,3.4427777777777777,0,8.186111111111112,Fleet,Metro Area,1,1.7038893734311595,1.1051377386142074
21,0,33.824757,12.926388888888887,5.450277777777778,0,7.476111111111109,Multi-Unit Dwelling,Metro Area,5,2.1476545454441403,1.2636367498553296
14,1,2.541,1.283611111111111,1.209722222222222,0,0.07388888888888911,Multi-use Parking Garage/Lot,Metro Area,4,-0.7083853002466216,0.30050236772236
11,0,15.88226,2.599166666666666,2.597777777777778,0,0.0013888888888882178,Multi-Unit Dwelling,Metro Area,5,0.1621587091746647,1.2541020407641288
19,0,4.258838,0.5855555555555556,0.5833333333333334,0,0.0022222222222222365,Leisure Destination,Metro Area,0,-1.226323861950357,0.2075530440368539
22,0,11.807,14.881944444444445,2.152777777777778,0,12.729166666666666,Medical or Educational Campus,Metro Area,0,1.5706849242967693,0.6397871805800394
7,0,41.907,11.91611111111111,7.18,0,4.736111111111111,Medical or Educational Campus,Undesignated,2,1.8945251872373088,-3.2760083900821164
19,0,15.5341,10.96527777777778,4.627777777777778,0,6.337500000000002,Single Family Residential,Metro Area,1,2.108262627087936,0.039085692478119625
21,0,22.639,9.710277777777778,2.733611111111111,0,6.976666666666667,Single Family Residential,Undesignated,2,2.030092356102053,-4.432468845419884
20,1,2.6826209999999997,11.2125,0.5113888888888889,0,10.70111111111111,Multi-use Parking Garage/Lot,Metro Area,4,0.7980670081838027,0.10004252241826382
15,0,6.191,2.6644444444444444,2.1225,0,0.5419444444444443,Multi-Unit Dwelling,Metro Area,5,0.19969159790410665,1.081906132626864
10,0,39.582855,6.396388888888889,6.295,0,0.10138888888888875,Multi-Unit Dwelling,Metro Area,5,1.0844255146449677,1.4892864469829656
21,0,34.38615,8.914444444444445,5.856111111111111,0,3.0583333333333345,Multi-Unit Dwelling,Metro Area,5,1.752986084009587,1.303845006410962
15,0,43.153,16.961944444444445,8.033055555555556,0,8.928888888888888,Business Office,Metro Area,0,2.300419349897017,1.0382463254079954
