evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing
18932,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18923,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18935,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18936,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18940,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
18938,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18946,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18947,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18948,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18952,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18953,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18954,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18950,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18957,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18958,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18963,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18960,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18967,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18970,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18972,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18980,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18981,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18982,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18983,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18984,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18976,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18977,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18978,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18777,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18789,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18790,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18770,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18771,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18798,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18804,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18800,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18810,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18722,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18723,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18734,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18741,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
18750,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18754,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18762,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18758,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18759,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18767,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18821,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18826,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18834,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18835,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18838,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18841,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18843,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18851,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18857,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18863,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18864,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18867,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18868,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18997,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18992,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18994,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18995,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
19002,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
19004,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
19006,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
19007,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
19009,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
19019,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
19012,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
19015,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18660,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18669,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18670,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18674,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18678,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18679,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18680,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18681,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18676,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18683,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18685,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18688,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18696,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18702,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18709,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18712,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18714,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18716,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18725,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18500,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18511,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18513,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18514,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18519,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18525,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18523,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18531,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18533,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18538,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18539,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18540,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18544,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18545,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18560,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18567,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18588,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18589,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18603,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18609,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18610,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18614,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
18615,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18624,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18643,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18648,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18652,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18654,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18657,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18157,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18150,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18152,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18153,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18145,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18146,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18147,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18116,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18122,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18123,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18126,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18132,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18134,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18135,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18138,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18160,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18165,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18166,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18167,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18168,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18175,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18182,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18186,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
18180,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18191,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18192,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18194,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18195,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18196,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18197,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free
18198,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18203,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18200,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18201,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18209,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18217,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18222,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18227,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18232,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18247,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18250,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18257,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18261,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18263,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18266,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18073,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18074,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18075,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18087,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18084,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18091,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18093,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18098,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18099,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18100,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18105,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18106,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18112,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Undesignated
18269,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18276,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18277,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18278,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18291,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18288,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18289,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18300,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18304,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18306,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18309,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18311,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18313,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid
18316,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18322,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18324,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18328,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18329,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18330,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18332,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18336,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18337,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18338,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18342,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18347,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18351,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
18355,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18356,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18357,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18362,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18363,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18364,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated
18365,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid
18369,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18374,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free
18375,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid
18377,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18383,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free
18385,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid
