id,vehicle_type,electrification_level,ownership,state
408,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
409,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
410,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
411,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
412,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
413,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
414,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
415,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
416,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
417,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
418,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
419,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
420,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
421,PASSENGER CAR,BEV (Battery Electric Vehicle),Fleet,Ohio
