id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
622762,969,2022-08-01 16:40:00,2022-08-01 16:50:00,0.195,0.552,,,5.0,512
622763,672,2022-08-01 15:50:00,2022-08-02 08:00:00,16.18138888888889,5.4275,50.0,60.0,1.0,512
622764,1068,2022-08-01 18:50:00,2022-08-01 18:50:00,0.0119444444444444,0.1484,,,2.0,576
622765,202,2022-08-01 15:50:00,2022-08-01 21:00:00,5.128333333333333,16.0,,,1.0,512
622766,1068,2022-08-01 19:00:00,2022-08-01 20:10:00,1.2680555555555555,1.96,,,2.0,512
622767,72,2022-08-01 17:10:00,2022-08-01 17:10:00,0.0363888888888888,0.62,55.0,55.0,1.0,576
622768,115,2022-08-01 17:10:00,2022-08-01 21:50:00,4.778333333333333,26.04,60.0,100.0,2.0,512
622769,809,2022-08-01 18:10:00,2022-08-01 18:30:00,0.2533333333333333,0.63,,,2.0,512
622770,809,2022-08-01 18:40:00,2022-08-02 09:30:00,14.917222222222222,21.0,50.0,90.0,2.0,512
622771,265,2022-08-01 17:50:00,2022-08-01 19:20:00,1.5008333333333332,25.2,60.0,100.0,1.0,32
622772,1067,2022-08-01 19:50:00,2022-08-01 22:30:00,2.671666666666667,19.8,65.0,100.0,2.0,512
622773,72,2022-08-01 18:10:00,2022-08-01 18:10:00,0.0216666666666666,0.62,45.0,45.0,1.0,576
622774,848,2022-08-01 20:10:00,2022-08-01 20:50:00,0.7377777777777778,25.0,,,1.0,512
622775,158,2022-08-01 18:10:00,2022-08-01 18:10:00,0.0166666666666666,0.62,,,1.0,576
622776,826,2022-08-01 17:20:00,2022-08-01 17:20:00,0.0144444444444444,0.1652,,,1.0,576
622777,650,2022-08-01 20:20:00,2022-08-02 05:50:00,9.383611111111112,9.55,,,1.0,0
622778,647,2022-08-01 20:30:00,2022-08-01 20:30:00,0.0166666666666666,0.665,,,3.0,576
622779,72,2022-08-01 18:30:00,2022-08-01 18:40:00,0.0672222222222222,0.62,45.0,45.0,1.0,512
