connector_id,evse_id,connector_number,connector_type,power_kw
17367,12201,1,J1772,<8 kW
17368,12202,1,J1772,<8 kW
17371,12205,1,J1772,<8 kW
17373,12207,1,J1772,<8 kW
17374,12208,1,J1772,<8 kW
17376,12210,1,J1772,<8 kW
17451,12285,1,J1772,>8 kW
17452,12286,1,J1772,>8 kW
15549,11007,2,J1772,<8 kW
15602,11072,2,J1772,<8 kW
15603,11073,2,J1772,<8 kW
15604,11074,2,J1772,<8 kW
16467,11075,1,J1772,<8 kW
15606,11076,2,J1772,<8 kW
15607,11077,2,J1772,<8 kW
16470,11078,1,J1772,<8 kW
16471,11079,1,J1772,<8 kW
16472,11080,1,J1772,<8 kW
15614,11085,2,J1772,<8 kW
15625,11097,2,J1772,<8 kW
16488,11098,1,J1772,<8 kW
15627,11099,2,J1772,<8 kW
15628,11100,2,J1772,<8 kW
16501,11116,1,J1772,<8 kW
15642,11117,2,J1772,<8 kW
15643,11119,2,J1772,<8 kW
16504,11120,1,J1772,<8 kW
15645,11121,2,J1772,<8 kW
16567,11196,1,J1772,<8 kW
16568,11197,1,J1772,<8 kW
16569,11198,1,J1772,<8 kW
16570,11199,1,J1772,<8 kW
16571,11200,1,J1772,<8 kW
15721,11201,2,J1772,<8 kW
15722,11202,2,J1772,<8 kW
16574,11203,1,J1772,<8 kW
15724,11204,2,J1772,<8 kW
16576,11205,1,J1772,<8 kW
16577,11206,1,J1772,<8 kW
15727,11207,2,J1772,<8 kW
16579,11208,1,J1772,<8 kW
15731,11211,2,J1772,<8 kW
15732,11212,2,J1772,<8 kW
16589,11218,1,J1772,<8 kW
15743,11224,2,J1772,<8 kW
17212,11230,1,Combo,30 kW - 100 kW
16620,11254,1,J1772,<8 kW
15771,11255,2,J1772,<8 kW
15772,11256,2,J1772,<8 kW
15773,11257,2,J1772,<8 kW
16624,11258,1,J1772,<8 kW
15775,11259,2,J1772,<8 kW
16614,11248,1,J1772,<8 kW
15765,11249,2,J1772,<8 kW
15766,11250,2,J1772,<8 kW
15767,11251,2,J1772,<8 kW
15768,11252,2,J1772,<8 kW
16645,11288,1,J1772,<8 kW
19465,11289,2,J1772,<8 kW
15806,11290,2,J1772,<8 kW
15807,11291,2,J1772,<8 kW
16648,11292,1,J1772,<8 kW
15809,11293,2,J1772,<8 kW
16650,11294,1,J1772,<8 kW
15811,11295,2,J1772,<8 kW
16652,11296,1,J1772,<8 kW
15813,11297,2,J1772,<8 kW
16654,11300,1,J1772,<8 kW
16655,11301,1,J1772,<8 kW
15816,11302,2,J1772,<8 kW
16657,11303,1,J1772,<8 kW
